Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Miller, J.A., Grubesic, T.H.",56120241400;6602481009;,A Spatial Exploration of the Halo Effect in the 2016 U.S. Presidential Election,2021,Annals of the American Association of Geographers,111,4,,1094,1109,,1,10.1080/24694452.2020.1785271,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090226203&doi=10.1080%2f24694452.2020.1785271&partnerID=40&md5=0ba2815bb03c62df3f3b2ebbd2133547,Article,Final,,Scopus,2-s2.0-85090226203
"Grekousis, G.",52563646600;,Local fuzzy geographically weighted clustering: a new method for geodemographic segmentation,2021,International Journal of Geographical Information Science,35,1,,152,174,,3,10.1080/13658816.2020.1808221,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089705512&doi=10.1080%2f13658816.2020.1808221&partnerID=40&md5=d8dafb758db766c7438f93880464b17b,Article,Final,,Scopus,2-s2.0-85089705512
"Xie, E., Zhang, Y., Huang, B., Zhao, Y., Shi, X., Hu, W., Qu, M.",57203098288;57205068346;55081613700;52164997000;55644884900;26029393500;49362211300;,Spatiotemporal variations in soil organic carbon and their drivers in southeastern China during 1981-2011,2021,Soil and Tillage Research,205,,104763,,,,5,10.1016/j.still.2020.104763,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089685408&doi=10.1016%2fj.still.2020.104763&partnerID=40&md5=6cefa5ff2c3b6eb60168127362a00290,Article,Final,,Scopus,2-s2.0-85089685408
"Eccles, K.M., Thomas, P.J., Chan, H.M.",56717471200;55929511600;56943686100;,Spatial patterns of the exposure-response relationship between mercury and cortisol in the fur of river otter (Lontra canadensis),2021,Chemosphere,263,,127992,,,,,10.1016/j.chemosphere.2020.127992,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089581695&doi=10.1016%2fj.chemosphere.2020.127992&partnerID=40&md5=672d5c7b7a574fe9ac73316be6244666,Article,Final,,Scopus,2-s2.0-85089581695
"Cupido, K., Fotheringham, A.S., Jevtic, P.",57218548018;7005669439;55747082100;,Local modelling of U.S. mortality rates: A multiscale geographically weighted regression approach,2021,"Population, Space and Place",27,1,e2379,,,,4,10.1002/psp.2379,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089477014&doi=10.1002%2fpsp.2379&partnerID=40&md5=c1c278e33f43b90e3fcb5d0f7394f4f0,Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85089477014
"Yu, D., Zhang, Y., Wu, X., Li, D., Li, G.",12792543600;57201032239;55945303900;56072502500;55911984900;,The varying effects of accessing high-speed rail system on China's county development: A geographically weighted panel regression analysis,2021,Land Use Policy,100,,104935,,,,1,10.1016/j.landusepol.2020.104935,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088391359&doi=10.1016%2fj.landusepol.2020.104935&partnerID=40&md5=74450cb2f8606fe8b1ae6c8eb1bb0316,Article,Final,,Scopus,2-s2.0-85088391359
"Shoff, C., Yang, T.-C., Kim, S.",36802449500;25959416500;57201332773;,Rural/Urban Differences in the Predictors of Opioid Prescribing Rates Among Medicare Part D Beneficiaries 65 Years of Age and Older,2021,Journal of Rural Health,37,1,,5,15,,,10.1111/jrh.12497,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088121835&doi=10.1111%2fjrh.12497&partnerID=40&md5=2633c599d406fb47e6292593b8604c30,Article,Final,,Scopus,2-s2.0-85088121835
"Cartone, A., Postiglione, P.",57195252902;8941652800;,Principal component analysis for geographical data: the role of spatial effects in the definition of composite indicators,2021,Spatial Economic Analysis,16,2,,126,147,,8,10.1080/17421772.2020.1775876,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087495548&doi=10.1080%2f17421772.2020.1775876&partnerID=40&md5=2890284e1626222b73d36d5633eb7b6d,Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85087495548
"Wu, S., Wang, Z., Du, Z., Huang, B., Zhang, F., Liu, R.",57200079324;57216175636;25929119800;55388074800;56434720200;55809641900;,Geographically and temporally neural network weighted regression for modeling spatiotemporal non-stationary relationships,2021,International Journal of Geographical Information Science,35,3,,582,608,,2,10.1080/13658816.2020.1775836,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086928629&doi=10.1080%2f13658816.2020.1775836&partnerID=40&md5=953f53fd48a009f513a349eeb9254c17,Article,Final,,Scopus,2-s2.0-85086928629
"Chen, F., Mei, C.-L.",57215086907;55725518800;,Scale-adaptive estimation of mixed geographically weighted regression models,2021,Economic Modelling,94,,,737,747,,,10.1016/j.econmod.2020.02.015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079899157&doi=10.1016%2fj.econmod.2020.02.015&partnerID=40&md5=7f39b30cfae03f02e70fb6350ee138fb,Article,Final,,Scopus,2-s2.0-85079899157
"Mann, D., Anees, M.M., Rankavat, S., Joshi, P.K.",57200076707;57203861193;57184374100;35195919400;,Spatio-temporal variations in landscape ecological risk related to road network in the Central Himalaya,2021,Human and Ecological Risk Assessment,27,2,,289,306,,2,10.1080/10807039.2019.1710693,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078583707&doi=10.1080%2f10807039.2019.1710693&partnerID=40&md5=2b814dde63c1e23613e5b5bf23aae112,Article,Final,,Scopus,2-s2.0-85078583707
"Soroori, E., Mohammadzadeh Moghaddam, A., Salehi, M.",57205401798;55213918000;57189448635;,Modeling spatial nonstationary and overdispersed crash data: Development and comparative analysis of global and geographically weighted regression models applied to macrolevel injury crash data,2021,Journal of Transportation Safety and Security,13,9,,1000,1024,,1,10.1080/19439962.2020.1712671,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078489257&doi=10.1080%2f19439962.2020.1712671&partnerID=40&md5=74f34b47cf7d648452ee1010fc6a8d0c,Article,Final,,Scopus,2-s2.0-85078489257
"Arnio, A.N.",55243374800;,Examining the Effects of Neighborhood Contextual Factors on Officer-Involved Shootings,2021,Justice Quarterly,38,4,,626,652,,,10.1080/07418825.2019.1679862,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074831038&doi=10.1080%2f07418825.2019.1679862&partnerID=40&md5=c7a72f360d2b66bd921a50cf4ae13db5,Article,Final,,Scopus,2-s2.0-85074831038
"Zou, B., Fang, X., Feng, H., Zhou, X.",55684453700;56457149700;54408382600;57203892414;,Simplicity versus accuracy for estimation of the PM2.5 concentration: a comparison between LUR and GWR methods across time scales,2021,Journal of Spatial Science,66,2,,279,297,,2,10.1080/14498596.2019.1624203,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068162867&doi=10.1080%2f14498596.2019.1624203&partnerID=40&md5=29764389554506b948a73fadfae3c397,Review,Final,,Scopus,2-s2.0-85068162867
"Jaber, S.M.",43361344400;,On the relationship between normalized difference vegetation index and land surface temperature: MODIS-based analysis in a semi-arid to arid environment,2021,Geocarto International,36,10,,1117,1135,,2,10.1080/10106049.2019.1633421,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068161577&doi=10.1080%2f10106049.2019.1633421&partnerID=40&md5=7999969c99b82c08dc2ce6931ee84d2d,Article,Final,,Scopus,2-s2.0-85068161577
"Imran, M., Hamid, Y., Mazher, A., Ahmad, S.R.",57215770917;57209414411;55609501600;23099522600;,"Geo-spatially modelling dengue epidemics in urban cities: a case study of Lahore, Pakistan",2021,Geocarto International,36,2,,197,211,,2,10.1080/10106049.2019.1614100,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067665704&doi=10.1080%2f10106049.2019.1614100&partnerID=40&md5=bfdd21b469fe56f05117efae232ff469,Article,Final,,Scopus,2-s2.0-85067665704
"Li, S., Xie, Y., Yang, Z., Lu, Y., Li, H.",56180537800;7403959475;55755616900;57207454197;36562134900;,"Examining winter fallow farmland from space and geography: a case study in Guizhou, China",2021,Journal of Spatial Science,66,1,,163,178,,,10.1080/14498596.2019.1578273,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062547664&doi=10.1080%2f14498596.2019.1578273&partnerID=40&md5=0380138aa28c527242b20abc923ca9e2,Review,Final,,Scopus,2-s2.0-85062547664
"Dangisso, M.H., Datiko, D.G., Lindtjørn, B.",55983936000;24922823900;7003541173;,Identifying geographical heterogeneity of pulmonary tuberculosis in southern Ethiopia: a method to identify clustering for targeted interventions,2020,Global Health Action,13,1,1785737,,,,3,10.1080/16549716.2020.1785737,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088929492&doi=10.1080%2f16549716.2020.1785737&partnerID=40&md5=f8462a68608038fe1bff6f3caf252763,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85088929492
"Franco, R.D.L., Iora, P.H., Dutra, A.C., Belczak, S.Q., Vissoci, J., Staton, C., Andrade, L.",57221131517;57211975832;57221042161;23003328000;36610859100;56764076400;57221133551;,"Spatial inequalities of major lower limb amputation rates in Paraná state, Brazil",2020,BMJ Open,10,12,e038980,,,,,10.1136/bmjopen-2020-038980,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098329013&doi=10.1136%2fbmjopen-2020-038980&partnerID=40&md5=477751c709d1536efd2d8a29f0221671,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85098329013
"Li, M.-J., Zhu, M.-C., He, Y., Li, P.-S., Zhang, P.-S., He, Z.-Y., Shi, J.-B., Chen, K., Weng, T., Zheng, Z.-Z., Jiang, L.",57221740592;57192698093;57116735300;57056660200;57221753561;57211486844;57221740023;57221148505;57221751524;18439055300;55197801300;,Analysis and Evaluation of Housing Price for Chengdu Urban,2020,"2020 17th International Computer Conference on Wavelet Active Media Technology and Information Processing, ICCWAMTIP 2020",,,9317395,175,178,,,10.1109/ICCWAMTIP51612.2020.9317395,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100022267&doi=10.1109%2fICCWAMTIP51612.2020.9317395&partnerID=40&md5=64b1582168dc86df0dab985afa9dab4d,Conference Paper,Final,,Scopus,2-s2.0-85100022267
